MCODE App Results
Date: 11-Jul-2024, 2:14:40 pm

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	157	157	12246	511145.b1291, 511145.b4261, 511145.b3541, 511145.b0862, 511145.b1292, 511145.b2425, 511145.b3566, 511145.b1293, 511145.b4262, 511145.b0153, 511145.b1294, 511145.b1484, 511145.b0863, 511145.b2424, 511145.b1711, 511145.b3201, 511145.b2423, 511145.b0864, 511145.b1243, 511145.b1485, 511145.b0854, 511145.b2422, 511145.b1244, 511145.b0855, 511145.b3751, 511145.b1486, 511145.b0856, 511145.b3750, 511145.b0857, 511145.b2199, 511145.b1245, 511145.b2149, 511145.b0365, 511145.b1487, 511145.b0792, 511145.b2309, 511145.b1124, 511145.b0793, 511145.b0366, 511145.b4485, 511145.b1246, 511145.b2148, 511145.b2308, 511145.b1125, 511145.b1247, 511145.b3478, 511145.b0367, 511145.b0158, 511145.b4087, 511145.b2306, 511145.b1126, 511145.b4088, 511145.b4086, 511145.b0590, 511145.b3476, 511145.b3271, 511145.b0592, 511145.b1118, 511145.b1516, 511145.b3270, 511145.b1329, 511145.b2180, 511145.b2131, 511145.b2130, 511145.b0829, 511145.b2201, 511145.b1440, 511145.b1441, 511145.b1754, 511145.b3460, 511145.b1442, 511145.b0832, 511145.b1755, 511145.b2200, 511145.b1443, 511145.b4230, 511145.b4231, 511145.b0830, 511145.b0197, 511145.b3749, 511145.b0831, 511145.b0199, 511145.b1116, 511145.b3452, 511145.b3269, 511145.b0653, 511145.b2179, 511145.b1117, 511145.b0654, 511145.b3451, 511145.b3450, 511145.b2178, 511145.b4290, 511145.b0655, 511145.b1319, 511145.b2679, 511145.b2129, 511145.b0887, 511145.b2128, 511145.b0809, 511145.b2678, 511145.b0810, 511145.b1310, 511145.b1900, 511145.b3458, 511145.b2677, 511145.b0811, 511145.b1857, 511145.b1311, 511145.b1901, 511145.b1312, 511145.b0933, 511145.b3457, 511145.b1858, 511145.b0589, 511145.b1859, 511145.b0936, 511145.b3917, 511145.b4460, 511145.b4287, 511145.b4288, 511145.b3456, 511145.b4227, 511145.b0886, 511145.b3455, 511145.b4289, 511145.b4034, 511145.b3454, 511145.b0151, 511145.b4035, 511145.b0152, 511145.b3453, 511145.b3728, 511145.b1483, 511145.b4032, 511145.b3540, 511145.b0067, 511145.b0696, 511145.b0068, 511145.b3727, 511145.b4033, 511145.b0697, 511145.b3726, 511145.b1709, 511145.b0698, 511145.b2547, 511145.b3725, 511145.b0914, 511145.b3544, 511145.b3543, 511145.b0860, 511145.b3568, 511145.b3542, 511145.b0861, 511145.b1290, 511145.b2546, 511145.b2211
2	21.04	26	263	511145.b2367, 511145.b3194, 511145.b0878, 511145.b3513, 511145.b0879, 511145.b1053, 511145.b1663, 511145.b1065, 511145.b3266, 511145.b2076, 511145.b0462, 511145.b0842, 511145.b2075, 511145.b2686, 511145.b2074, 511145.b0463, 511145.b3035, 511145.b2685, 511145.b3265, 511145.b4337, 511145.b2470, 511145.b2368, 511145.b0128, 511145.b4080, 511145.b3514, 511145.b3673
3	12.308	14	80	511145.b1621, 511145.b2169, 511145.b1101, 511145.b1737, 511145.b4240, 511145.b0731, 511145.b2167, 511145.b3599, 511145.b2429, 511145.b3722, 511145.b3899, 511145.b2715, 511145.b1736, 511145.b0679
4	12	12	66	511145.b3328, 511145.b3332, 511145.b3334, 511145.b3327, 511145.b3326, 511145.b3330, 511145.b3323, 511145.b3333, 511145.b3329, 511145.b3325, 511145.b3331, 511145.b3324
5	9.176	18	78	511145.b2062, 511145.b0572, 511145.b0241, 511145.b0983, 511145.b3710, 511145.b3264, 511145.b1377, 511145.b2684, 511145.b0681, 511145.b1531, 511145.b4311, 511145.b4081, 511145.b4036, 511145.b4082, 511145.b3875, 511145.b0929, 511145.b3720, 511145.b1615
6	6.6	11	33	511145.b2786, 511145.b1129, 511145.b3404, 511145.b1609, 511145.b3210, 511145.b2079, 511145.b3199, 511145.b2218, 511145.b3200, 511145.b1209, 511145.b1608
7	6	8	21	511145.b2934, 511145.b4565, 511145.b2094, 511145.b2703, 511145.b2933, 511145.b4302, 511145.b4195, 511145.b2093
8	5	5	10	511145.b3193, 511145.b1833, 511145.b0950, 511145.b1834, 511145.b0951
9	5	5	10	511145.b1629, 511145.b1632, 511145.b1627, 511145.b1628, 511145.b1630
10	4.923	14	32	511145.b0177, 511145.b0046, 511145.b3609, 511145.b3747, 511145.b0047, 511145.b4220, 511145.b2512, 511145.b3351, 511145.b2595, 511145.b3290, 511145.b3350, 511145.b3235, 511145.b4221, 511145.b3849
