Gene Name,Gene Symbol
NZ_CP053601.1:336-2798,thrA
NZ_CP053601.1:2800-3732,thrB
NZ_CP053601.1:3733-5019,thrC
NZ_CP053601.1:6527-7957,yaaJ
NZ_CP053601.1:8236-9189,tal
NZ_CP053601.1:9304-9891,mog
NZ_CP053601.1:9926-10492,satP
NZ_CP053601.1:10641-11354,msyB
NZ_CP053601.1:12161-14077,dnaK
NZ_CP053601.1:14166-15296,dnaJ
NZ_CP053601.1:15443-16555,Unknown
NZ_CP053601.1:17488-18654,nhaA
NZ_CP053601.1:18720-19619,nhaR
NZ_CP053601.1:19658-20617,Unknown
NZ_CP053601.1:20630-21982,Unknown
NZ_CP053601.1:22208-23296,espX1
NZ_CP053601.1:24058-24404,Unknown
NZ_CP053601.1:25253-25471,yaaY
NZ_CP053601.1:25479-26420,ribF
NZ_CP053601.1:26463-29279,ileS
NZ_CP053601.1:29279-29773,lspA
NZ_CP053601.1:29898-30347,fkpB
NZ_CP053601.1:30349-31299,ispH
NZ_CP053601.1:31365-32279,rihC
NZ_CP053601.1:32446-33267,dapB
NZ_CP053601.1:33723-34871,carA
NZ_CP053601.1:34889-38110,carB
NZ_CP053601.1:38372-38767,caiF
NZ_CP053601.1:38976-39566,caiE
NZ_CP053601.1:39572-40357,caiD
NZ_CP053601.1:40466-42019,caiC
NZ_CP053601.1:42093-43309,caiB
NZ_CP053601.1:43438-44580,caiA
NZ_CP053601.1:44611-46125,caiT
NZ_CP053601.1:46599-47369,fixA
NZ_CP053601.1:47384-48325,fixB
NZ_CP053601.1:48376-49662,fixC
NZ_CP053601.1:50003-51334,yaaU
NZ_CP053601.1:51442-51972,kefF
NZ_CP053601.1:51965-53827,kefC
NZ_CP053601.1:54019-54498,folA
NZ_CP053601.1:54576-55418,apaH
NZ_CP053601.1:55805-56626,rsmA
NZ_CP053601.1:56623-57612,pdxA
NZ_CP053601.1:57612-58898,surA
NZ_CP053601.1:58951-61305,lptD
NZ_CP053601.1:61560-62375,djlA
NZ_CP053601.1:62492-63151,rluA
NZ_CP053601.1:63163-66069,rapA
NZ_CP053601.1:66234-68585,polB
NZ_CP053601.1:68660-69355,araD
NZ_CP053601.1:69640-71142,araA
NZ_CP053601.1:71153-72853,araB
NZ_CP053601.1:73192-74070,araC
NZ_CP053601.1:74156-74920,yabI
NZ_CP053601.1:75716-77326,thiP
NZ_CP053601.1:77302-78285,thiB
NZ_CP053601.1:78449-80104,sgrR
NZ_CP053601.1:80426-81604,setA
NZ_CP053601.1:82269-83669,leuC
NZ_CP053601.1:83672-84763,leuB
NZ_CP053601.1:84763-86334,leuA
NZ_CP053601.1:86427-86513,leuL
